net_price
6088
6396
6939
6995
7447
7767
7661
7744
7672
7761
7299
6875
6214
5806
5894
5678
5240
4565
4370
4199
4014
3941
4186
4246
4327
4286
4464
4414
4509
4410
4445
4324
4211
4013
4007
4144
4083
4028
4005
4023
3831
3662
3621
3643
3692
3618
3477
3372
3398
3446
3461
3335
3382
3420
3306
3335
3174
3089
3067
3093
3042
3038
3058
3100
3128
3119
3018
2962
2889
2873
2783
2744
2688
2547
2419
2309
2368
2420
2393
2428
2567
2688
2793
2927
3161
3365
3499
3494
3497
3515
3458
3475
3681
3750
3791
3766
3793
3772
3952
4066
4183
4142
4145
4104
4158
3953
3828
3859
4053
4062
4093
4138
4091
3971
3988
4040
3927
3999
3897
3973
3973
4013
4046
4082
4120
4135
4187
4235
4269
4389
4622
4819
5049
5212
5288
5180
5232
5236
5099
4954
4809
4326
4166
4241
4279
4344
4464
4636
4804
4971
5068
5216
5318
5367
5345
5382
5571
5636
5753
5832
5803
5907
6075
6168
6246
6439
6550
6577
6802
7068
7212
7324
7437
7333
7303
7323
7261
7201
7181
7056
7013
7278
7607
7749
7824
7829
7951
8144
8321
8539
8647
8668
8980
9191
9162
8840
8999
9133
9027
9099
9033
8936
8895
8901
8868
8857
8878
8879
8924
9014
9246
9414
9550
9671
9781
9984
10191
10442
10497
10525
10615
10771
10855
10970
10830
10627
10465
10196
10030
9850
9720
9732
9754
9884
9925
10141
10409
10620
10740
10780
10770
10866
11155
11402
11524
11667
11768
11787
11772
11887
12005
